Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2016,,,,,2.109,1.823,1.933,1.939,1.773,1.830,1.751,1.743
2017,1.881,1.963,1.793,1.816,2.074,2.027,1.953,2.026,1.911,2.087,2.089,2.331
2018,2.342,2.228,2.578,2.514,2.465,2.254,2.343,2.177,2.180,2.162,2.142,2.146
2019,2.046,2.059,2.055,2.023,,,,,,1.679,,2.012
2020,1.880,1.870,1.900,2.383,,,,,,,,
2021,,,,,,,,,,,1.914,1.986
2022,1.999,2.146,2.221,2.855,3.113,2.926,3.295,3.442,3.136,4.015,4.172,4.788
2023,5.272,4.776,4.033,3.907,3.359,2.642,2.414,2.331,2.348,2.270,2.456,2.811
2024,2.877,3.348,3.385,3.328,3.211,3.164,,,,,,
